efac,spinodal,lnz_0,phase,temp,volume,run,system,beta,edge_distance,ntot,betaOmega,PE,dw
1.0,0,-4.062216036250001,1,0.705,512.0,4,lj-n12m6,1.4184397163120568,22.0,464.19573115743646,-954.027164682948,-2997.9654638698817,944.2516954574999
1.0,1,-7.879326873260872,0,0.705,512.0,4,lj-n12m6,1.4184397163120568,486.0,0.1934571055395265,-0.1927439376676378,-0.0009990316330887121,693.3620982727836
1.0,1,-7.879326873260872,1,0.705,512.0,4,lj-n12m6,1.4184397163120568,115.0,368.39296497577175,689.0778358522984,-1934.1644035855434,1.0
1.0,0,-4.069241564375,0,0.706,512.0,1,lj-n12m6,1.41643059490085,472.0,17.128199814571644,-11.419050205948302,-8.683648586653018,1.0
1.0,0,-4.069241564375,1,0.706,512.0,1,lj-n12m6,1.41643059490085,22.0,464.0147359293466,-949.3813913967728,-2995.300261381886,939.5511116612502
1.0,1,-7.869760618333334,0,0.706,512.0,1,lj-n12m6,1.41643059490085,486.0,0.19726809985434687,-0.19652816444721816,-0.0010370022124197881,690.079415845667
1.0,1,-7.869760618333334,1,0.706,512.0,1,lj-n12m6,1.41643059490085,115.0,368.0451820794156,685.7740969688125,-1930.4251532113515,1.0
1.0,0,-4.069292607875,0,0.706,512.0,2,lj-n12m6,1.41643059490085,472.0,17.131132570552627,-11.420225152032025,-8.688283990885925,1.0
1.0,0,-4.069292607875,1,0.706,512.0,2,lj-n12m6,1.41643059490085,22.0,463.9548776964777,-949.053373152753,-2994.6569664831636,939.22152646625
1.0,1,-7.870651430347822,0,0.706,512.0,2,lj-n12m6,1.41643059490085,486.0,0.19713832024339417,-0.19640041224911445,-0.0010350188168969732,690.4418842646942
1.0,1,-7.870651430347822,1,0.706,512.0,2,lj-n12m6,1.41643059490085,116.0,368.26359534223826,686.1558172760082,-1932.4071433572287,1.0000000000002274
1.0,0,-4.192590332031251,0,0.706,512.0,3,lj-n12m6,1.41643059490085,475.0,12.970682394247657,-9.457450926845693,-4.912326099848896,3.729747578750029
1.0,0,-4.192590332031251,1,0.706,512.0,3,lj-n12m6,1.41643059490085,24.0,462.2364422315298,-887.5042742401964,-2975.588378846159,882.0784418026558
1.0,1,-7.860931165652178,0,0.706,512.0,3,lj-n12m6,1.41643059490085,486.0,0.19706085490270803,-0.19632083357711974,-0.0010347435972419639,690.4985283183057
1.0,1,-7.860931165652178,1,0.706,512.0,3,lj-n12m6,1.41643059490085,116.0,368.2676045147049,686.2111052485703,-1932.49935455078,0.9999999999998863
1.0,0,-4.05920700775,0,0.706,512.0,4,lj-n12m6,1.41643059490085,472.0,17.1320957328252,-11.421490230512005,-8.686523973884027,1.000000000000007
1.0,0,-4.05920700775,1,0.706,512.0,4,lj-n12m6,1.41643059490085,22.0,463.95374093155243,-949.4055599990487,-2994.6546122390378,939.5982014824998
1.0,1,-7.86018850858333,0,0.706,512.0,4,lj-n12m6,1.41643059490085,486.0,0.19722042427378833,-0.19648107311635843,-0.0010347936860399184,690.1947716964155
1.0,1,-7.86018850858333,1,0.706,512.0,4,lj-n12m6,1.41643059490085,115.0,368.2700368873162,685.9113405129107,-1932.5340589210239,1.0
1.0,0,-4.0662544745,0,0.707,512.0,1,lj-n12m6,1.4144271570014144,472.0,17.160368156015515,-11.452866272819339,-8.680718316098083,1.000000000000007
1.0,0,-4.0662544745,1,0.707,512.0,1,lj-n12m6,1.4144271570014144,22.0,463.77082533631227,-944.7693834970967,-2991.966541666026,934.903892875
1.0,1,-7.8507076946086976,0,0.707,512.0,1,lj-n12m6,1.4144271570014144,486.0,0.20108783860423834,-0.20032086937690607,-0.001073980175068108,686.9332523762181
1.0,1,-7.8507076946086976,1,0.707,512.0,1,lj-n12m6,1.4144271570014144,116.0,367.91991923011125,682.6287802301698,-1928.766015017729,0.9999999999998863
