binodal,lnz_0,phase,temp,volume,run,system,beta,edge_distance,ntot,betaOmega,PE
0,-6.207521383999908,1,0.704,512.0,2,lj-n12m6,1.4204545454545456,55.0,430.9470949281598,-1.0535137425267231,-2622.198167490134
0,-6.1976422560000985,0,0.704,512.0,3,lj-n12m6,1.4204545454545456,485.0,1.0754420827275075,-1.0532821764623685,-0.02814883475435547
0,-6.1976422560000985,1,0.704,512.0,3,lj-n12m6,1.4204545454545456,55.0,430.95027915758783,-1.0532821764622098,-2622.2882190193277
0,-6.197587102000218,0,0.704,512.0,4,lj-n12m6,1.4204545454545456,485.0,1.075574253907465,-1.0534024243503317,-0.028136129862203006
0,-6.197587102000218,1,0.704,512.0,4,lj-n12m6,1.4204545454545456,55.0,430.98054366762545,-1.053402424350246,-2622.6198430328986
0,-6.19549770800003,0,0.705,512.0,1,lj-n12m6,1.4184397163120568,485.0,1.0889079124967669,-1.0662359534617138,-0.02881832445971151
0,-6.19549770800003,1,0.705,512.0,1,lj-n12m6,1.4184397163120568,55.0,430.74545467788096,-1.066235953461686,-2619.4572699232804
0,-6.195234852000569,0,0.705,512.0,2,lj-n12m6,1.4184397163120568,485.0,1.0894155720066017,-1.066756742267822,-0.028833526909049223
0,-6.195234852000569,1,0.705,512.0,2,lj-n12m6,1.4184397163120568,55.0,430.7312108977052,-1.066756742267767,-2619.2491561418287
0,-6.185358292000098,0,0.705,512.0,3,lj-n12m6,1.4184397163120568,485.0,1.0891967569232375,-1.0665229784289587,-0.028829905051417727
0,-6.185358292000098,1,0.705,512.0,3,lj-n12m6,1.4184397163120568,55.0,430.73367250683964,-1.06652297842901,-2619.3292747889727
0,-6.185302504999813,0,0.705,512.0,4,lj-n12m6,1.4184397163120568,485.0,1.0893319861186008,-1.0666455016094614,-0.028817215513013316
0,-6.185302504999813,1,0.705,512.0,4,lj-n12m6,1.4184397163120568,55.0,430.7611015972411,-1.0666455016095586,-2619.6287417864887
0,-6.183252480000325,0,0.706,512.0,1,lj-n12m6,1.41643059490085,485.0,1.102792623806585,-1.0795961754091954,-0.029513522778122872
0,-6.183252480000325,1,0.706,512.0,1,lj-n12m6,1.41643059490085,55.0,430.5307323980179,-1.0795961754093677,-2616.5214345998475
0,-6.1829904059999405,0,0.706,512.0,2,lj-n12m6,1.41643059490085,485.0,1.1033052663900837,-1.0801222032920779,-0.029529185057218632
0,-6.1829904059999405,1,0.706,512.0,2,lj-n12m6,1.41643059490085,56.0,430.51516365368747,-1.0801222032920175,-2616.3003196408267
0,-6.173117759999498,0,0.706,512.0,3,lj-n12m6,1.41643059490085,485.0,1.1030841071204807,-1.0798862627444505,-0.029525370100540255
0,-6.173117759999498,1,0.706,512.0,3,lj-n12m6,1.41643059490085,55.0,430.5170281724693,-1.0798862627442913,-2616.3718530459373
0,-6.173061424000493,0,0.706,512.0,4,lj-n12m6,1.41643059490085,485.0,1.1032223168761832,-1.0800109732826537,-0.029512695457448085
0,-6.173061424000493,1,0.706,512.0,4,lj-n12m6,1.41643059490085,55.0,430.5415530297532,-1.080010973282804,-2616.638522315244
0,-6.171049052000442,0,0.707,512.0,1,lj-n12m6,1.4144271570014144,485.0,1.1168109524247865,-1.0930796283713948,-0.03022337622277984
0,-6.171049052000442,1,0.707,512.0,1,lj-n12m6,1.4144271570014144,56.0,430.31593379562094,-1.0930796283712487,-2613.586782992718
0,-6.170787861000048,0,0.707,512.0,2,lj-n12m6,1.4144271570014144,485.0,1.117328438729203,-1.093610766449902,-0.0302395027108801
0,-6.170787861000048,1,0.707,512.0,2,lj-n12m6,1.4144271570014144,56.0,430.29896236997547,-1.0936107664499093,-2613.3517644205185
0,-6.1609206849994615,0,0.707,512.0,3,lj-n12m6,1.4144271570014144,485.0,1.1171049535179352,-1.0933726826926253,-0.030235487522507713
0,-6.1609206849994615,1,0.707,512.0,3,lj-n12m6,1.4144271570014144,56.0,430.3003430052853,-1.0933726826927055,-2613.415923677032
0,-6.16086388499982,0,0.707,512.0,4,lj-n12m6,1.4144271570014144,485.0,1.1172460497220091,-1.093499479465652,-0.030222826208798896
0,-6.16086388499982,1,0.707,512.0,4,lj-n12m6,1.4144271570014144,55.0,430.3219005613942,-1.0934994794655604,-2613.6492186462774
0,-6.1588872299994435,0,0.708,512.0,1,lj-n12m6,1.4124293785310735,485.0,1.1309637335100393,-1.106686979679226,-0.030948147128206913
0,-6.1588872299994435,1,0.708,512.0,1,lj-n12m6,1.4124293785310735,56.0,430.1010473669878,-1.1066869796792953,-2610.653187772128
0,-6.158627031999666,0,0.708,512.0,2,lj-n12m6,1.4124293785310735,485.0,1.131485897680148,-1.107223072606271,-0.030964740796106872
0,-6.158627031999666,1,0.708,512.0,2,lj-n12m6,1.4124293785310735,56.0,430.0826161815976,-1.1072230726063879,-2610.403596251959
0,-6.1487670739995295,0,0.708,512.0,3,lj-n12m6,1.4124293785310735,485.0,1.1312601179826691,-1.1069828916415225,-0.03096051862918553
0,-6.1487670739995295,1,0.708,512.0,3,lj-n12m6,1.4124293785310735,56.0,430.08361386835816,-1.1069828916413988,-2610.4614573244007
