phase,temp,beta,volume,system,binodal,lnz_0,edge_distance,ntot,betaOmega,PE,dens,pres,pe_n,size,lnz_0_stderr,edge_distance_stderr,ntot_stderr,betaOmega_stderr,PE_stderr,dens_stderr,pres_stderr,pe_n_stderr,size_stderr
0,0.881,1.1350737797956867,512.0,lj-n12m6,0,-4.5496631457499905,480.0,6.392022305033625,-5.862245693950298,-0.8224127378199556,0.012484418564518799,0.06447750869460722,-0.12866236785463792,4,-4.5496631457499905,480.0,6.392022305033625,-5.862245693950298,-0.8224127378199556,0.012484418564518799,0.06447750869460722,-0.12866236785463792,4
0,0.882,1.1337868480725624,512.0,lj-n12m6,0,-4.542611154250031,480.0,6.443741158969361,-5.906437922204333,-0.8351139131610305,0.012585431951112034,0.06556353445659867,-0.12960078312084083,4,-4.542611154250031,480.0,6.443741158969361,-5.906437922204333,-0.8351139131610305,0.012585431951112034,0.06556353445659867,-0.12960078312084083,4
0,0.883,1.1325028312570782,512.0,lj-n12m6,0,-4.535579431000038,480.0,6.495770383187351,-5.950850837695011,-0.8479847269169781,0.012687051529662794,0.06666539780573673,-0.13054413319844935,4,-4.535579431000038,480.0,6.495770383187351,-5.950850837695011,-0.8479847269169781,0.012687051529662794,0.06666539780573673,-0.13054413319844935,4
0,0.884,1.1312217194570136,512.0,lj-n12m6,0,-4.528567901500217,480.0,6.548111270765211,-5.995484860862591,-0.8610271103628897,0.012789279825713302,0.06778329375939908,-0.1314924352860362,4,-4.528567901500217,480.0,6.548111270765211,-5.995484860862591,-0.8610271103628897,0.012789279825713302,0.06778329375939908,-0.1314924352860362,4
0,0.885,1.1299435028248588,512.0,lj-n12m6,0,-4.521576489500147,480.0,6.600765118623556,-6.040340410138041,-0.8742430133670509,0.012892119372311633,0.06891741929086939,-0.1324457066339703,4,-4.521576489500147,480.0,6.600765118623556,-6.040340410138041,-0.8742430133670509,0.012892119372311633,0.06891741929086939,-0.1324457066339703,4
0,0.886,1.1286681715575622,512.0,lj-n12m6,0,-4.514605120749921,480.0,6.653733229573911,-6.085417902984524,-0.8876344048816721,0.012995572714011545,0.07006797337794068,-0.13340396455456036,4,-4.514605120749921,480.0,6.653733229573911,-6.085417902984524,-0.8876344048816721,0.012995572714011545,0.07006797337794068,-0.13340396455456036,4
0,0.887,1.1273957158962795,512.0,lj-n12m6,0,-4.507653719999942,480.0,6.707016911478929,-6.130717753994244,-0.9012032731776816,0.013099642405232283,0.07123515698847344,-0.13436722644949953,4,-4.507653719999942,480.0,6.707016911478929,-6.130717753994244,-0.9012032731776816,0.013099642405232283,0.07123515698847344,-0.13436722644949953,4
0,0.888,1.1261261261261262,512.0,lj-n12m6,0,-4.500722212749951,480.0,6.760617477901123,-6.176240377671837,-0.9149516258687267,0.01320433101152563,0.0724191731352942,-0.13533550977558373,4,-4.500722212749951,480.0,6.760617477901123,-6.176240377671837,-0.9149516258687267,0.01320433101152563,0.0724191731352942,-0.13533550977558373,4
0,0.889,1.124859392575928,512.0,lj-n12m6,0,-4.493810525250147,480.0,6.814536247417146,-6.2219861844011515,-0.9288814900932545,0.013309641108236613,0.07362022683823585,-0.13630883206120803,4,-4.493810525250147,480.0,6.814536247417146,-6.2219861844011515,-0.9288814900932545,0.013309641108236613,0.07362022683823585,-0.13630883206120803,4
0,0.89,1.1235955056179776,512.0,lj-n12m6,0,-4.486918584000244,480.0,6.868774543911851,-6.267955585839857,-0.942994912703493,0.013415575281077834,0.07483852520655622,-0.13728721090389542,4,-4.486918584000244,480.0,6.868774543911851,-6.267955585839857,-0.942994912703493,0.013415575281077834,0.07483852520655622,-0.13728721090389542,4
